rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
35306	659	Idu	ahã◦pũ	ahã◦pũ	abdomen	abdomen		1.4.7		0		m,2111
35307	659	Idu	tʰu◦tʰa◦ga	tʰu◦tʰa◦ga	ache	ache		1.1.5.1		0		1846,1844,m
35308	659	Idu	ɟõ	ɟõ	act	act		6.2		0		
35309	659	Idu	e◦rõ◦lõ	e◦rõ◦lõ	Adam's apple	Adam's apple		1.3.5.4		0		p,489,499
35310	659	Idu	e◦rõ◦gu	e◦rõ◦gu	Adam's apple	Adam's apple		1.3.5.4		0		p,489,5651
35311	659	Idu	apratoga	apratoga	adorn	adorn		5.8		0		
35312	659	Idu	eheja-ga	eheja-ga	advance	advance		6.7.4		0		
35313	659	Idu	mrataga	mrataga	ailing	ailing		1.1.5.1		0		
35314	659	Idu	embretaga	embretaga	ailing	ailing		1.1.5.1		0		
35315	659	Idu	kʰo	kʰo	anger	anger		1.5.3.2		0		
35316	659	Idu	kʰo-po	kʰo-po	angry	angry		8.3.1.6.1		0		
35317	659	Idu	pakʰi	pakʰi	ankle	ankle		1.5.8.2		0		
35318	659	Idu	brõkʰi	brõkʰi	ankle	ankle		1.5.8.2		0		
35319	659	Idu	lĩ	lĩ	annihilation	annihilation		6.4		0		
35320	659	Idu	kapõtõlombõ	kapõtõlombõ	antenna	antenna		1.2.2		0		
35321	659	Idu	ekapora rũmbõ	ekapora rũmbõ	antenna	antenna		1.2.2		0		
35322	659	Idu	maco rũ adro	maco rũ adro	antler	antler		1.2.2		0		m,814,m
35323	659	Idu	la◦rũ◦mbo	la◦rũ◦mbo	arm	arm		1.5.1.2		0		695,m,236
35324	659	Idu	a◦kʰo◦sipra	a◦kʰo◦sipra	arm (lower)	arm (lower)		1.5.1.2		0		p,240,m
35325	659	Idu	a◦kʰõ◦pu	a◦kʰõ◦pu	arm (upper)	arm (upper)		1.5.1.2		0		p,240,236
35326	659	Idu	ejakala	ejakala	armpit	armpit		1.5.1.2.3		0		
35327	659	Idu	alupito	alupito	ashamed	ashamed		8.3.3.8.2		0		
35328	659	Idu	ahɯga	ahɯga	ask	ask		8.5.7.1		0		
35329	659	Idu	tahɯga	tahɯga	ask	ask		8.5.7.1		0		
35330	659	Idu	ɟi◦mu-si	ɟi◦mu-si	asleep	asleep		1.1.4.1		0		127,130,m
35331	659	Idu	hi◦mu◦si	hi◦mu◦si	asleep	asleep		1.1.4.1		0		127,130,m
35332	659	Idu	ando amoga	ando amoga	attack	attack		6.5		0		
35333	659	Idu	ɟĩga	ɟĩga	attack (from back)	attack (from back)		6.5		0		
35334	659	Idu	ando-amojiga	ando-amojiga	attacker	attacker		6.5		0		
35335	659	Idu	a◦ɟo◦ga	a◦ɟo◦ga	awake	awake		1.1.4		0		p,142,s
35336	659	Idu	a◦ɟo◦ji◦ga	a◦ɟo◦ji◦ga	awaken	awaken		1.1.4		0		p,142,m,s
35337	659	Idu	i◦pin◦do	i◦pin◦do	back	back		1.4.8		0		p,209,m
35338	659	Idu	rũm◦bõ	rũm◦bõ	back	back		1.4.8		0		3323,3326
35339	659	Idu	i◦si◦gõ◦mbo	i◦si◦gõ◦mbo	backbone	backbone		1.4.8.2		0		p,m,2254,m
