rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
496074	1981	Kayan (Pekon)	a-	a-	he, she, it, etc.	he, she, it, etc.	Pfx	4.1		0		2138
496075	1981	Kayan (Pekon)	a-	a-	"nominaliser, ""relationaliser"""	"nominaliser, ""relationaliser"""	Pfx			0		
496076	1981	Kayan (Pekon)	á̤	á̤	Oh!	Oh!	EXCL	10.7		0		
496077	1981	Kayan (Pekon)	á	á	Q	Q	Pfx			0		
496078	1981	Kayan (Pekon)	à	à	many	many	ADJ	9.9		0		
496079	1981	Kayan (Pekon)	â	â	yes, I agree	yes, I agree	INTJ	1.5.3.2		0		
496080	1981	Kayan (Pekon)	abakyadàu	abakyadàu	since, as - marks reason clause	since, as - marks reason clause	SUBi	10.0		0		
496081	1981	Kayan (Pekon)	a◦gə́◦a◦θà	a◦gə́◦a◦θà	intelligence [lit. 3-divide-3-heart]	intelligence [lit. 3-divide-3-heart]	Nelab	8.3.1.13.1		0		m,m,m,32
496082	1981	Kayan (Pekon)	agṳ́asʰà	agṳ́asʰà	sound [lit. 3-sound-3-?]	sound [lit. 3-sound-3-?]	Nelab	9.3		0		
496083	1981	Kayan (Pekon)	âi	âi	enjoy, like	enjoy, like	V	8.3.1.1.1		0		
496084	1981	Kayan (Pekon)	âi	âi	enjoy, able	enjoy, able	Vv	8.3.1.1.1		0		
496085	1981	Kayan (Pekon)	âi	âi	marry (used only for women)	marry (used only for women)	V	6.19		0		
496086	1981	Kayan (Pekon)	âi	âi	tear, rip, pull down	tear, rip, pull down	V	1.8.8.1		0		
496087	1981	Kayan (Pekon)	akasʰân	akasʰân	remainder	remainder	N	8.1		0		
496088	1981	Kayan (Pekon)	akatʰí	akatʰí	beginning	beginning	TEMP	9.5		0		
496089	1981	Kayan (Pekon)	akʰó̤asá	akʰó̤asá	so - marks result clauses	so - marks result clauses	SUBi	10.1.2.2		0		
496090	1981	Kayan (Pekon)	akʰó̤sá	akʰó̤sá	so - marks reason clauses	so - marks reason clauses	SUBi	10.1.2.2		0		
496091	1981	Kayan (Pekon)	akʰó̤sá	akʰó̤sá	so - marks result clauses	so - marks result clauses	SUBi	10.1.2.2		0		
496092	1981	Kayan (Pekon)	akʰó̤sánṳ̀	akʰó̤sánṳ̀	as, since - marks reason clause	as, since - marks reason clause	SUBi	10.0		0		
496093	1981	Kayan (Pekon)	akʰó̤sánṳ̀	akʰó̤sánṳ̀	so - marks result clause	so - marks result clause	SUBi	10.1.2.2		0		
496094	1981	Kayan (Pekon)	alṳ̀amâ	alṳ̀amâ	wrong, incorrect	wrong, incorrect	ADV	9.6.2.1		0		
496095	1981	Kayan (Pekon)	alūapʰû	alūapʰû	taste, flavour [lit. 3-smell-3-?]	taste, flavour [lit. 3-smell-3-?]	Nelab	1.3.5.8		0		
496096	1981	Kayan (Pekon)	án	án	chest	chest	N	1.4.4.3		0		
496097	1981	Kayan (Pekon)	án	án	open	open	ADJ	6.2.2.6.1		0		
496098	1981	Kayan (Pekon)	ân	ân	eat	eat	Vtr	1.5.3.2		0		
496099	1981	Kayan (Pekon)	a◦nān	anān	he, she, it (this is the full independent form, it also occurs as a proclitic a-)	he, she, it (this is the full independent form, it also occurs as a proclitic a-)	PRO	4.1		0		2138,m
496100	1981	Kayan (Pekon)	anānθɨ́	anānθɨ́	they	they	PRO	4.1		0		
496101	1981	Kayan (Pekon)	anâu	anâu	later	later	ADV	9.1.5		0		
496102	1981	Kayan (Pekon)	anâuaná	anâuaná	then	then	SUBi	9.1.5		0		
496103	1981	Kayan (Pekon)	anâuhá	anâuhá	future, future time [lit. 3-later-time]	the future, future time [lit. 3-later-time]	N	9.1.5		0		
496104	1981	Kayan (Pekon)	ándà	ándà	chest	chest	N	1.4.4.3		0		
496105	1981	Kayan (Pekon)	ánná	ánná	chest	chest	N	1.4.4.3		0		
496106	1981	Kayan (Pekon)	ânsʰâ	ânsʰâ	food [lit. eat-food]	food [lit. eat-food]	N	5.5		0		
496107	1981	Kayan (Pekon)	aŋúasì̤	aŋúasì̤	clothing [lit. 3-pants-3-shirt]	clothing [lit. 3-pants-3-shirt]	Nelab	5.11.8.2.1		0		
496108	1981	Kayan (Pekon)	ânwîáuwî	ânwîáuwî	delicious	delicious	Velab	7.1.4.4		0		
496109	1981	Kayan (Pekon)	apʰùakrā	apʰùakrā	beautiful	beautiful	ADJelab	7.1.3		0		
496110	1981	Kayan (Pekon)	arè̤akái	arè̤akái	about [lit. 3-good-3-bad]	about [lit. 3-good-3-bad]	Pp	10.1		0		
496111	1981	Kayan (Pekon)	arēkāu	arēkāu	first	first	ADV	9.9		0		
496112	1981	Kayan (Pekon)	arēsadí	arēsadí	last week [lit. first-week]	last week [lit. first-week]	N	9.9		0		
496113	1981	Kayan (Pekon)	aró̤anā	aró̤anā	body	body	Nelab	1.1.1		0		
496114	1981	Kayan (Pekon)	asá	asá	as, because - marks reason/cause clauses	as, because - marks reason/cause clauses	SUBf	10.0		0		
496115	1981	Kayan (Pekon)	asə́aón	asə́aón	safety	safety	Nelab			0		
496116	1981	Kayan (Pekon)	atʰânalà̤n	atʰânalà̤n	tone [lit. 3-ascend-3-descend]	tone [lit. 3-ascend-3-descend]	Nelab	10.2.1.1		0		
496117	1981	Kayan (Pekon)	atə́là̤n	atə́là̤n	after that	after that	SUBi	9.1.5		0		
496118	1981	Kayan (Pekon)	atʰíakán	atʰíakán	basis	basis	Nelab			0		
496119	1981	Kayan (Pekon)	aθɨ́aθɨ́	aθɨ́aθɨ́	3PL	3PL	PRO			0		
496120	1981	Kayan (Pekon)	áu	áu	drink	drink	Vtr			0		
496121	1981	Kayan (Pekon)	àu	àu	split with hands	split with hands	Vtr	6.9.3		0		
496122	1981	Kayan (Pekon)	âu	âu	be at	be at	V	10.4.1.1		0		
496123	1981	Kayan (Pekon)	âu	âu	have, exist	have, exist	V	8.2		0		
496124	1981	Kayan (Pekon)	âu-	âu-	continuous marker	continuous marker	Pfx	9.5		0		
496125	1981	Kayan (Pekon)	âukūâulà	âukūâulà	carefree	carefree	ADJelab			0		
496126	1981	Kayan (Pekon)	âu◦sʰàu◦âu◦mà̤	âusʰàuâumà̤	strong	strong	Velab	9.6.1.1		0		
496127	1981	Kayan (Pekon)	âu◦sên◦âu◦klə̤̀n	âusênâuklə̤̀n	stable and firm, solid	stable and firm, solid	Velab	5.11.9.5		0		m,159,m,m
